,row_number,target_position,grasp,trial_no,block
0,0,2,2,0,0
1,1,2,2,1,0
2,2,2,2,2,0
3,3,2,2,3,0
4,4,2,2,4,0
5,5,4,4,0,1
6,6,4,4,1,1
7,7,4,4,2,1
8,8,4,4,3,1
9,9,4,4,4,1
10,10,5,3,0,2
11,11,5,3,1,2
12,12,5,3,2,2
13,13,5,3,3,2
14,14,5,3,4,2
15,15,6,1,0,3
16,16,6,1,1,3
17,17,6,1,2,3
18,18,6,1,3,3
19,19,6,1,4,3
20,20,8,5,0,4
21,21,8,5,1,4
22,22,8,5,2,4
23,23,8,5,3,4
24,24,8,5,4,4
25,25,2,3,0,5
26,26,2,3,1,5
27,27,2,3,2,5
28,28,2,3,3,5
29,29,2,3,4,5
30,30,4,1,0,6
31,31,4,1,1,6
32,32,4,1,2,6
33,33,4,1,3,6
34,34,4,1,4,6
35,35,5,5,0,7
36,36,5,5,1,7
37,37,5,5,2,7
38,38,5,5,3,7
39,39,5,5,4,7
40,40,6,2,0,8
41,41,6,2,1,8
42,42,6,2,2,8
43,43,6,2,3,8
44,44,6,2,4,8
45,45,8,4,0,9
46,46,8,4,1,9
47,47,8,4,2,9
48,48,8,4,3,9
49,49,8,4,4,9
50,50,2,5,0,10
51,51,2,5,1,10
52,52,2,5,2,10
53,53,2,5,3,10
54,54,2,5,4,10
55,55,4,3,0,11
56,56,4,3,1,11
57,57,4,3,2,11
58,58,4,3,3,11
59,59,4,3,4,11
60,60,5,2,0,12
61,61,5,2,1,12
62,62,5,2,2,12
63,63,5,2,3,12
64,64,5,2,4,12
65,65,6,4,0,13
66,66,6,4,1,13
67,67,6,4,2,13
68,68,6,4,3,13
69,69,6,4,4,13
70,70,8,1,0,14
71,71,8,1,1,14
72,72,8,1,2,14
73,73,8,1,3,14
74,74,8,1,4,14
75,75,2,6,0,15
76,76,2,6,1,15
77,77,2,6,2,15
78,78,2,6,3,15
79,79,2,6,4,15
80,80,4,6,0,16
81,81,4,6,1,16
82,82,4,6,2,16
83,83,4,6,3,16
84,84,4,6,4,16
85,85,5,6,0,17
86,86,5,6,1,17
87,87,5,6,2,17
88,88,5,6,3,17
89,89,5,6,4,17
90,90,6,6,0,18
91,91,6,6,1,18
92,92,6,6,2,18
93,93,6,6,3,18
94,94,6,6,4,18
95,95,8,6,0,19
96,96,8,6,1,19
97,97,8,6,2,19
98,98,8,6,3,19
99,99,8,6,4,19
100,100,2,4,0,20
101,101,2,4,1,20
102,102,2,4,2,20
103,103,2,4,3,20
104,104,2,4,4,20
105,105,4,5,0,21
106,106,4,5,1,21
107,107,4,5,2,21
108,108,4,5,3,21
109,109,4,5,4,21
110,110,5,1,0,22
111,111,5,1,1,22
112,112,5,1,2,22
113,113,5,1,3,22
114,114,5,1,4,22
115,115,6,3,0,23
116,116,6,3,1,23
117,117,6,3,2,23
118,118,6,3,3,23
119,119,6,3,4,23
120,120,8,2,0,24
121,121,8,2,1,24
122,122,8,2,2,24
123,123,8,2,3,24
124,124,8,2,4,24
125,125,2,1,0,25
126,126,2,1,1,25
127,127,2,1,2,25
128,128,2,1,3,25
129,129,2,1,4,25
130,130,4,2,0,26
131,131,4,2,1,26
132,132,4,2,2,26
133,133,4,2,3,26
134,134,4,2,4,26
135,135,5,4,0,27
136,136,5,4,1,27
137,137,5,4,2,27
138,138,5,4,3,27
139,139,5,4,4,27
140,140,6,5,0,28
141,141,6,5,1,28
142,142,6,5,2,28
143,143,6,5,3,28
144,144,6,5,4,28
145,145,8,3,0,29
146,146,8,3,1,29
147,147,8,3,2,29
148,148,8,3,3,29
149,149,8,3,4,29
